gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	A	B	C	D	E	F	G	H	I
CFC1	P0CG37	True	CFC1_HUMAN	NODAL_receptor_IbIIa_CFC1	CPI-CS0A862F965	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.008
CFC1	P0CG37	True	CFC1_HUMAN	NODAL_receptor_IbIIb_CFC1	CPI-CS0BF9CBA6B	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.008
CFC1	P0CG37	True	CFC1_HUMAN	NODAL_receptor_IcIIb_CFC1	CPI-CS06D37E6BE	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.008
DBH	P09172	True	DOPO_HUMAN	Noradrenaline_byDBH	CPI-CS0B163FBF9	0.0	0.0	0.016	0.01	0.014	0.0	0.0	0.0	0.0
DBH	P09172	True	DOPO_HUMAN	Noradrenaline_byDBH	CPI-CS0C2C1436F	0.0	0.0	0.016	0.01	0.014	0.0	0.0	0.0	0.0
DBH	P09172	True	DOPO_HUMAN	Noradrenaline_byDBH	CPI-CS0F38E0E82	0.0	0.0	0.016	0.01	0.014	0.0	0.0	0.0	0.0
DBH	P09172	True	DOPO_HUMAN	Noradrenaline_byDBH	CPI-CS0567F5A28	0.0	0.0	0.016	0.01	0.014	0.0	0.0	0.0	0.0
DBH	P09172	True	DOPO_HUMAN	Noradrenaline_byDBH	CPI-CS03367AA19	0.0	0.0	0.016	0.01	0.014	0.0	0.0	0.0	0.0
DBH	P09172	True	DOPO_HUMAN	Noradrenaline_byDBH	CPI-CS0965866AD	0.0	0.0	0.016	0.01	0.014	0.0	0.0	0.0	0.0
DBH	P09172	True	DOPO_HUMAN	Noradrenaline_byDBH	CPI-CS0AAB81D2A	0.0	0.0	0.016	0.01	0.014	0.0	0.0	0.0	0.0
DBH	P09172	True	DOPO_HUMAN	Noradrenaline_byDBH	CPI-CS092C03024	0.0	0.0	0.016	0.01	0.014	0.0	0.0	0.0	0.0
DBH	P09172	True	DOPO_HUMAN	Noradrenaline_byDBH	CPI-CS086A43130	0.0	0.0	0.016	0.01	0.014	0.0	0.0	0.0	0.0
OSMR	Q99650	True	OSMR_HUMAN	OSMR	CPI-CS06D50EBF8	0.061	0.077	0.105	0.092	0.1	0.102	0.11	0.027	0.11
PDGFRA	P16234	True	PGFRA_HUMAN	PDGFR_complex	CPI-CS061152023	0.216	0.264	0.285	0.281	0.366	0.244	0.244	0.247	0.331
PDGFRB	P09619	True	PGFRB_HUMAN	PDGFR_complex	CPI-CS061152023	0.216	0.264	0.285	0.281	0.366	0.244	0.244	0.247	0.331
PTCH2	Q9Y6C5	True	PTC2_HUMAN	PTCH2_BOC_transmembrane_receptor	CPI-CS07D2364C3	0.003	0.009	0.0	0.0	0.007	0.004	0.006	0.007	0.025
PTCH2	Q9Y6C5	True	PTC2_HUMAN	PTCH2_CDON_transmembrane_receptor	CPI-CS0E91836A4	0.003	0.009	0.0	0.0	0.007	0.004	0.006	0.007	0.025
PTCH2	Q9Y6C5	True	PTC2_HUMAN	PTCH2_GAS1_transmembrane_receptor	CPI-CS0E63C11C2	0.003	0.009	0.0	0.0	0.007	0.004	0.006	0.007	0.025
BOC	Q9BWV1	True	BOC_HUMAN	PTCH2_BOC_transmembrane_receptor	CPI-CS07D2364C3	0.003	0.009	0.0	0.0	0.007	0.004	0.006	0.007	0.025
BOC	Q9BWV1	True	BOC_HUMAN	PTCH_BOC_transmembrane_receptor	CPI-CS07CECBD31	0.44	0.153	0.564	0.58	0.452	0.169	0.14	0.193	0.178
BOC	Q9BWV1	True	BOC_HUMAN	PTCH_BOC_transmembrane_receptor	CPI-CS057F72411	0.44	0.153	0.564	0.58	0.452	0.169	0.14	0.193	0.178
CDON	Q4KMG0	True	CDON_HUMAN	PTCH2_CDON_transmembrane_receptor	CPI-CS0E91836A4	0.003	0.009	0.0	0.0	0.007	0.004	0.006	0.007	0.025
CDON	Q4KMG0	True	CDON_HUMAN	PTCH_CDON_transmembrane_receptor	CPI-CS0F34B5B7B	0.1	0.043	0.2	0.122	0.19	0.045	0.091	0.1	0.195
CDON	Q4KMG0	True	CDON_HUMAN	PTCH_CDON_transmembrane_receptor	CPI-CS09B610A66	0.1	0.043	0.2	0.122	0.19	0.045	0.091	0.1	0.195
GAS1	P54826	True	GAS1_HUMAN	PTCH2_GAS1_transmembrane_receptor	CPI-CS0E63C11C2	0.003	0.009	0.0	0.0	0.007	0.004	0.006	0.007	0.025
GAS1	P54826	True	GAS1_HUMAN	PTCH_GAS1_transmembrane_receptor	CPI-CS03FEC2D68	0.186	0.187	0.239	0.227	0.369	0.12	0.201	0.12	0.373
GAS1	P54826	True	GAS1_HUMAN	PTCH_GAS1_transmembrane_receptor	CPI-CS0BF157CD2	0.186	0.187	0.239	0.227	0.369	0.12	0.201	0.12	0.373
PTCH1	Q13635	True	PTC1_HUMAN	PTCH_BOC_transmembrane_receptor	CPI-CS07CECBD31	0.44	0.153	0.564	0.58	0.452	0.169	0.14	0.193	0.178
PTCH1	Q13635	True	PTC1_HUMAN	PTCH_BOC_transmembrane_receptor	CPI-CS057F72411	0.44	0.153	0.564	0.58	0.452	0.169	0.14	0.193	0.178
PTCH1	Q13635	True	PTC1_HUMAN	PTCH_CDON_transmembrane_receptor	CPI-CS0F34B5B7B	0.1	0.043	0.2	0.122	0.19	0.045	0.091	0.1	0.195
PTCH1	Q13635	True	PTC1_HUMAN	PTCH_CDON_transmembrane_receptor	CPI-CS09B610A66	0.1	0.043	0.2	0.122	0.19	0.045	0.091	0.1	0.195
PTCH1	Q13635	True	PTC1_HUMAN	PTCH_GAS1_transmembrane_receptor	CPI-CS03FEC2D68	0.186	0.187	0.239	0.227	0.369	0.12	0.201	0.12	0.373
PTCH1	Q13635	True	PTC1_HUMAN	PTCH_GAS1_transmembrane_receptor	CPI-CS0BF157CD2	0.186	0.187	0.239	0.227	0.369	0.12	0.201	0.12	0.373
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	PlexinA1_complex1	CPI-CS0C57A3081	0.188	0.282	0.236	0.186	0.262	0.154	0.311	0.187	0.28
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	PlexinA1_complex2	CPI-CS0123BC66C	0.18	0.23	0.226	0.237	0.24	0.15	0.207	0.147	0.28
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	PlexinA1_complex3	CPI-CS0E5D1ECCE	0.399	0.206	0.338	0.163	0.81	0.188	0.439	0.167	0.525
TREM2	Q9NZC2	True	TREM2_HUMAN	PlexinA1_complex2	CPI-CS0123BC66C	0.18	0.23	0.226	0.237	0.24	0.15	0.207	0.147	0.28
TYROBP	O43914	True	TYOBP_HUMAN	PlexinA1_complex2	CPI-CS0123BC66C	0.18	0.23	0.226	0.237	0.24	0.15	0.207	0.147	0.28
NRP1	O14786	True	NRP1_HUMAN	PlexinA1_complex3	CPI-CS0E5D1ECCE	0.399	0.206	0.338	0.163	0.81	0.188	0.439	0.167	0.525
NRP1	O14786	True	NRP1_HUMAN	PlexinA2_complex1	CPI-CS0D238C22B	0.399	0.206	0.338	0.163	0.81	0.188	0.439	0.167	0.525
NRP1	O14786	True	NRP1_HUMAN	PlexinA2_complex1	CPI-CS0837F11F9	0.399	0.206	0.338	0.163	0.81	0.188	0.439	0.167	0.525
NRP1	O14786	True	NRP1_HUMAN	PlexinA3_complex1	CPI-CS0AA769F5B	0.238	0.206	0.338	0.163	0.315	0.188	0.439	0.167	0.525
NRP1	O14786	True	NRP1_HUMAN	PlexinA4_complex1	CPI-CS0AB19226A	0.399	0.206	0.338	0.163	0.81	0.188	0.439	0.167	0.525
PLXNA2	O75051	True	PLXA2_HUMAN	PlexinA2_complex1	CPI-CS0D238C22B	0.399	0.206	0.338	0.163	0.81	0.188	0.439	0.167	0.525
PLXNA2	O75051	True	PLXA2_HUMAN	PlexinA2_complex1	CPI-CS0837F11F9	0.399	0.206	0.338	0.163	0.81	0.188	0.439	0.167	0.525
PLXNA3	P51805	True	PLXA3_HUMAN	PlexinA3_complex1	CPI-CS0AA769F5B	0.238	0.206	0.338	0.163	0.315	0.188	0.439	0.167	0.525
PLXNA4	Q9HCM2	True	PLXA4_HUMAN	PlexinA4_complex1	CPI-CS0AB19226A	0.399	0.206	0.338	0.163	0.81	0.188	0.439	0.167	0.525
RARA	P10276	True	RARA_HUMAN	RAreceptor_RARA	CPI-CC08F908F82	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
RARA	P10276	True	RARA_HUMAN	RAreceptor_RARA	CPI-CC026C4A350	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
RARA	P10276	True	RARA_HUMAN	RAreceptor_RARA	CPI-CC019B04ACA	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
RARA	P10276	True	RARA_HUMAN	RAreceptor_RARA_RXRA	CPI-CC0C0E5D3E6	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
RARA	P10276	True	RARA_HUMAN	RAreceptor_RARA_RXRA	CPI-CC006FA0683	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
RARA	P10276	True	RARA_HUMAN	RAreceptor_RARA_RXRA	CPI-CC034CDFF5A	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RARA	CPI-CC08F908F82	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RARA	CPI-CC026C4A350	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RARA	CPI-CC019B04ACA	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RARA_RXRA	CPI-CC0C0E5D3E6	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RARA_RXRA	CPI-CC006FA0683	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RARA_RXRA	CPI-CC034CDFF5A	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RARB	CPI-CC08CA59D0F	0.028	0.021	0.052	0.044	0.082	0.045	0.073	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RARB	CPI-CC07740C2C7	0.028	0.021	0.052	0.044	0.082	0.045	0.073	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RARB	CPI-CC03D29A57A	0.028	0.021	0.052	0.044	0.082	0.045	0.073	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RARB_RXRB	CPI-CC054A62E24	0.028	0.021	0.052	0.044	0.082	0.045	0.073	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RARB_RXRB	CPI-CC0033B8550	0.028	0.021	0.052	0.044	0.082	0.045	0.073	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RARB_RXRB	CPI-CC02DA10AF1	0.028	0.021	0.052	0.044	0.082	0.045	0.073	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RARG	CPI-CC065EAD131	0.028	0.021	0.052	0.044	0.19	0.045	0.091	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RARG	CPI-CC0B7305040	0.028	0.021	0.052	0.044	0.19	0.045	0.091	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RARG	CPI-CC08FFD9783	0.028	0.021	0.052	0.044	0.19	0.045	0.091	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RARG_RXRG	CPI-CC0C253E5C0	0.028	0.021	0.052	0.044	0.115	0.045	0.091	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RARG_RXRG	CPI-CC04D4A2639	0.028	0.021	0.052	0.044	0.115	0.045	0.091	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RARG_RXRG	CPI-CC0DB92A7C7	0.028	0.021	0.052	0.044	0.115	0.045	0.091	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RXRA	CPI-CC08689D69E	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RXRA	CPI-CC03471D12E	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RXRA	CPI-CC03F4523A8	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RXRB	CPI-CC0DACB3814	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RXRB	CPI-CC0EE65B390	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RXRB	CPI-CC0D18F107A	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RXRG	CPI-CC01013C167	0.028	0.021	0.052	0.044	0.115	0.045	0.091	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RXRG	CPI-CC0B0EE8B92	0.028	0.021	0.052	0.044	0.115	0.045	0.091	0.027	0.136
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RXRG	CPI-CC07EB70E9C	0.028	0.021	0.052	0.044	0.115	0.045	0.091	0.027	0.136
RXRA	P19793	True	RXRA_HUMAN	RAreceptor_RARA_RXRA	CPI-CC0C0E5D3E6	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
RXRA	P19793	True	RXRA_HUMAN	RAreceptor_RARA_RXRA	CPI-CC006FA0683	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
RXRA	P19793	True	RXRA_HUMAN	RAreceptor_RARA_RXRA	CPI-CC034CDFF5A	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
RXRA	P19793	True	RXRA_HUMAN	RAreceptor_RXRA	CPI-CC08689D69E	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
RXRA	P19793	True	RXRA_HUMAN	RAreceptor_RXRA	CPI-CC03471D12E	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
RXRA	P19793	True	RXRA_HUMAN	RAreceptor_RXRA	CPI-CC03F4523A8	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
RARB	P10826	True	RARB_HUMAN	RAreceptor_RARB	CPI-CC08CA59D0F	0.028	0.021	0.052	0.044	0.082	0.045	0.073	0.027	0.136
RARB	P10826	True	RARB_HUMAN	RAreceptor_RARB	CPI-CC07740C2C7	0.028	0.021	0.052	0.044	0.082	0.045	0.073	0.027	0.136
RARB	P10826	True	RARB_HUMAN	RAreceptor_RARB	CPI-CC03D29A57A	0.028	0.021	0.052	0.044	0.082	0.045	0.073	0.027	0.136
RARB	P10826	True	RARB_HUMAN	RAreceptor_RARB_RXRB	CPI-CC054A62E24	0.028	0.021	0.052	0.044	0.082	0.045	0.073	0.027	0.136
RARB	P10826	True	RARB_HUMAN	RAreceptor_RARB_RXRB	CPI-CC0033B8550	0.028	0.021	0.052	0.044	0.082	0.045	0.073	0.027	0.136
RARB	P10826	True	RARB_HUMAN	RAreceptor_RARB_RXRB	CPI-CC02DA10AF1	0.028	0.021	0.052	0.044	0.082	0.045	0.073	0.027	0.136
RXRB	P28702	True	RXRB_HUMAN	RAreceptor_RARB_RXRB	CPI-CC054A62E24	0.028	0.021	0.052	0.044	0.082	0.045	0.073	0.027	0.136
RXRB	P28702	True	RXRB_HUMAN	RAreceptor_RARB_RXRB	CPI-CC0033B8550	0.028	0.021	0.052	0.044	0.082	0.045	0.073	0.027	0.136
RXRB	P28702	True	RXRB_HUMAN	RAreceptor_RARB_RXRB	CPI-CC02DA10AF1	0.028	0.021	0.052	0.044	0.082	0.045	0.073	0.027	0.136
RXRB	P28702	True	RXRB_HUMAN	RAreceptor_RXRB	CPI-CC0DACB3814	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
RXRB	P28702	True	RXRB_HUMAN	RAreceptor_RXRB	CPI-CC0EE65B390	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
RXRB	P28702	True	RXRB_HUMAN	RAreceptor_RXRB	CPI-CC0D18F107A	0.028	0.021	0.052	0.044	0.222	0.045	0.091	0.027	0.136
RARG	P13631	True	RARG_HUMAN	RAreceptor_RARG	CPI-CC065EAD131	0.028	0.021	0.052	0.044	0.19	0.045	0.091	0.027	0.136
RARG	P13631	True	RARG_HUMAN	RAreceptor_RARG	CPI-CC0B7305040	0.028	0.021	0.052	0.044	0.19	0.045	0.091	0.027	0.136
RARG	P13631	True	RARG_HUMAN	RAreceptor_RARG	CPI-CC08FFD9783	0.028	0.021	0.052	0.044	0.19	0.045	0.091	0.027	0.136
RARG	P13631	True	RARG_HUMAN	RAreceptor_RARG_RXRG	CPI-CC0C253E5C0	0.028	0.021	0.052	0.044	0.115	0.045	0.091	0.027	0.136
RARG	P13631	True	RARG_HUMAN	RAreceptor_RARG_RXRG	CPI-CC04D4A2639	0.028	0.021	0.052	0.044	0.115	0.045	0.091	0.027	0.136
RARG	P13631	True	RARG_HUMAN	RAreceptor_RARG_RXRG	CPI-CC0DB92A7C7	0.028	0.021	0.052	0.044	0.115	0.045	0.091	0.027	0.136
RXRG	P48443	True	RXRG_HUMAN	RAreceptor_RARG_RXRG	CPI-CC0C253E5C0	0.028	0.021	0.052	0.044	0.115	0.045	0.091	0.027	0.136
RXRG	P48443	True	RXRG_HUMAN	RAreceptor_RARG_RXRG	CPI-CC04D4A2639	0.028	0.021	0.052	0.044	0.115	0.045	0.091	0.027	0.136
RXRG	P48443	True	RXRG_HUMAN	RAreceptor_RARG_RXRG	CPI-CC0DB92A7C7	0.028	0.021	0.052	0.044	0.115	0.045	0.091	0.027	0.136
RXRG	P48443	True	RXRG_HUMAN	RAreceptor_RXRG	CPI-CC01013C167	0.028	0.021	0.052	0.044	0.115	0.045	0.091	0.027	0.136
RXRG	P48443	True	RXRG_HUMAN	RAreceptor_RXRG	CPI-CC0B0EE8B92	0.028	0.021	0.052	0.044	0.115	0.045	0.091	0.027	0.136
RXRG	P48443	True	RXRG_HUMAN	RAreceptor_RXRG	CPI-CC07EB70E9C	0.028	0.021	0.052	0.044	0.115	0.045	0.091	0.027	0.136
FGF19	O95750	False	FGF19_HUMAN		CPI-SS0F8463C75	0.003	0.003	0.0	0.0	0.0	0.0	0.012	0.0	0.0
CCL4	P13236	False	CCL4_HUMAN		CPI-SS05BA6D9C3	0.0	0.0	0.0	0.014	0.0	0.0	0.006	0.0	0.0
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0ADC886E5	0.0	0.0	0.0	0.014	0.0	0.0	0.006	0.0	0.0
SPP1	P10451	False	OSTP_HUMAN		CPI-SS04297753E	0.133	0.571	0.223	0.119	0.875	0.353	0.561	0.107	0.627
CCL1	P22362	False	CCL1_HUMAN		CPI-SS0B784A03E	0.0	0.0	0.0	0.007	0.004	0.0	0.0	0.007	0.0
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0268D47AD	0.0	0.0	0.0	0.014	0.0	0.0	0.006	0.0	0.0
GAST	P01350	False	GAST_HUMAN		CPI-SS094C06AA8	0.0	0.006	0.01	0.0	0.0	0.004	0.024	0.0	0.017
IFNA8	P32881	False	IFNA8_HUMAN		CPI-SS000171CB7	0.003	0.006	0.003	0.003	0.0	0.0	0.0	0.007	0.008
IGF2	P01344	False	IGF2_HUMAN		CPI-SS016B111FE	0.125	0.307	0.403	0.122	1.287	0.805	0.378	0.2	1.288
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0714977CA	1.197	0.466	2.216	1.325	1.771	0.286	0.372	0.313	1.517
ADIPOQ	Q15848	False	ADIPO_HUMAN		CPI-SS0E1389B57	0.008	0.003	0.003	0.0	0.004	0.004	0.0	0.0	0.008
CCL4L2	Q8NHW4	False	CC4L_HUMAN		CPI-SS0A866903F	0.0	0.0	0.0	0.014	0.0	0.0	0.006	0.0	0.0
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0795802F6	0.0	0.0	0.0	0.014	0.0	0.0	0.006	0.0	0.0
CSF1	P09603	False	CSF1_HUMAN		CPI-SS03105D292	0.044	0.061	0.056	0.047	0.047	0.09	0.049	0.033	0.119
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	0.0	0.0	0.0	0.014	0.0	0.0	0.006	0.0	0.0
CCL3	P10147	False	CCL3_HUMAN		CPI-SS0C090A257	0.008	0.006	0.003	0.0	0.004	0.0	0.0	0.0	0.008
CCL4	P13236	False	CCL4_HUMAN		CPI-SS008F83E02	0.0	0.0	0.0	0.014	0.0	0.0	0.006	0.0	0.0
CCL3	P10147	False	CCL3_HUMAN		CPI-SS08DA48A5A	0.008	0.006	0.003	0.0	0.004	0.0	0.0	0.0	0.008
CCL3L1	CCL3L1	False	CCL3L1		CPI-SS0E1735D13	0.008	0.006	0.003	0.0	0.004	0.0	0.0	0.0	0.008
CCL3L1	P16619	False	CL3L1_HUMAN		CPI-SS0817CE2B3	0.008	0.006	0.003	0.0	0.004	0.0	0.0	0.0	0.008
CCL24	O00175	False	CCL24_HUMAN		CPI-SS0B7BC0E4D	0.003	0.012	0.003	0.0	0.014	0.011	0.0	0.0	0.025
SPP1	P10451	False	OSTP_HUMAN		CPI-SC03E67206C	0.133	0.571	0.223	0.119	0.875	0.353	0.561	0.107	0.627
FN1	P02751	False	FINC_HUMAN		CPI-SC06D7BD0F6	0.504	0.733	1.03	0.746	1.892	0.534	0.945	0.593	1.347
LAMC1	P11047	False	LAMC1_HUMAN		CPI-SC07763D025	0.488	0.38	0.715	0.566	0.742	0.44	0.457	0.487	0.898
F2	P00734	False	THRB_HUMAN		CPI-SC0AA4C3895	0.008	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0
VTN	P04004	False	VTNC_HUMAN		CPI-SC045FE8A01	0.302	0.61	0.541	0.393	0.903	0.376	0.53	0.34	0.788
THBS1	P07996	False	TSP1_HUMAN		CPI-SC02EA03F82	0.028	0.098	0.121	0.034	0.244	0.094	0.11	0.06	0.297
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SC0FCA446B5	2.41	4.273	4.741	1.976	1.566	0.929	3.384	2.06	5.169
FCER2	P06734	False	FCER2_HUMAN		CPI-SC0A5BCC92E	0.0	0.0	0.0	0.0	0.004	0.0	0.006	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SC0F72E9E4E	0.111	0.083	0.151	0.078	0.183	0.139	0.159	0.127	0.195
FGF1	P05230	False	FGF1_HUMAN		CPI-SC0FB36427B	0.85	1.96	0.889	0.786	1.14	1.417	2.585	0.7	1.797
THY1	P04216	False	THY1_HUMAN		CPI-SC0F0AC498A	23.197	25.988	33.472	19.292	17.097	7.459	16.037	13.853	26.28
VWF	P04275	False	VWF_HUMAN		CPI-SC060FE7871	0.105	0.273	0.23	0.217	0.796	0.361	0.189	0.173	0.483
IGF1	P05019	False	IGF1_HUMAN		CPI-SC0D3D23FAA	0.147	0.42	0.249	0.21	0.219	0.056	0.232	0.073	0.144
MMP2	P08253	False	MMP2_HUMAN		CPI-SC0A6D5D2B1	0.03	0.043	0.049	0.024	0.061	0.053	0.03	0.027	0.076
TNC	P24821	False	TENA_HUMAN		CPI-SC021D4420C	0.044	0.334	0.243	0.024	0.186	0.147	0.061	0.08	0.203
PLAUR	Q03405	False	UPAR_HUMAN		CPI-SC0C4FD0754	0.102	0.021	0.03	0.047	0.054	0.03	0.024	0.04	0.034
OMD	Q99983	False	OMD_HUMAN		CPI-SC042AD06C6	0.003	0.006	0.007	0.01	0.065	0.019	0.024	0.0	0.051
SPP1	P10451	False	OSTP_HUMAN		CPI-SC0C81483EA	0.133	0.571	0.223	0.119	0.875	0.353	0.561	0.107	0.627
FN1	P02751	False	FINC_HUMAN		CPI-SC0F96CE387	0.504	0.733	1.03	0.746	1.892	0.534	0.945	0.593	1.347
TNC	P24821	False	TENA_HUMAN		CPI-SC00B50273B	0.044	0.334	0.243	0.024	0.186	0.147	0.061	0.08	0.203
PLAUR	Q03405	False	UPAR_HUMAN		CPI-SC0E029AB31	0.102	0.021	0.03	0.047	0.054	0.03	0.024	0.04	0.034
VCAM1	P19320	False	VCAM1_HUMAN		CPI-SC0B2557C9D	0.224	0.356	0.351	0.295	0.473	0.451	0.5	0.413	0.627
JAM2	P57087	False	JAM2_HUMAN		CPI-SC0C2126F8E	0.643	1.491	1.059	0.776	0.867	0.771	1.116	0.647	1.271
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.133	0.571	0.223	0.119	0.875	0.353	0.561	0.107	0.627
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.111	0.083	0.151	0.078	0.183	0.139	0.159	0.127	0.195
TYROBP	O43914	False	TYOBP_HUMAN		CPI-SS014C07723	0.252	0.288	0.472	0.339	0.444	0.338	0.22	0.367	0.415
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.139	0.025	0.344	0.308	0.1	0.056	0.037	0.133	0.127
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	0.133	0.571	0.223	0.119	0.875	0.353	0.561	0.107	0.627
SPP1	P10451	False	OSTP_HUMAN		CPI-SC069FF84F5	0.133	0.571	0.223	0.119	0.875	0.353	0.561	0.107	0.627
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SC0EB9B5460	2.41	4.273	4.741	1.976	1.566	0.929	3.384	2.06	5.169
TNC	P24821	False	TENA_HUMAN		CPI-SC0B5F57CE1	0.044	0.334	0.243	0.024	0.186	0.147	0.061	0.08	0.203
VCAM1	P19320	False	VCAM1_HUMAN		CPI-SC061E89E41	0.224	0.356	0.351	0.295	0.473	0.451	0.5	0.413	0.627
GAST	P01350	False	GAST_HUMAN		CPI-SS079FD6EC6	0.0	0.006	0.01	0.0	0.0	0.004	0.024	0.0	0.017
CCL4L2	Q8NHW4	False	CC4L_HUMAN		CPI-SS0A42A3690	0.0	0.0	0.0	0.014	0.0	0.0	0.006	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS03FA58286	0.003	0.003	0.0	0.0	0.004	0.004	0.0	0.0	0.0
GAST	P01350	False	GAST_HUMAN		CPI-SS0830AF8E6	0.0	0.006	0.01	0.0	0.0	0.004	0.024	0.0	0.017
CCK	P06307	False	CCKN_HUMAN		CPI-SS00AD71822	21.213	15.574	27.793	24.441	17.785	4.925	3.463	6.78	7.483
IFNA8	P32881	False	IFNA8_HUMAN		CPI-SC0E4586CC9	0.003	0.006	0.003	0.003	0.0	0.0	0.0	0.007	0.008
IFNA1	IFNA1	False	IFNA1		CPI-SC0B4C33BBC	0.003	0.006	0.003	0.003	0.0	0.0	0.0	0.007	0.008
IFNA2	P01563	False	IFNA2_HUMAN		CPI-SC010EA0527	0.0	0.003	0.0	0.003	0.0	0.0	0.0	0.0	0.0
IFNA10	P01566	False	IFN10_HUMAN		CPI-SC0FD33E00A	0.003	0.006	0.003	0.003	0.0	0.0	0.0	0.007	0.008
